nohup: ignoring input
Epoch:3/60 || Epochiter:17/23 || loss:0.6208||Batchtime:0.1684||ETA:0:03:41
Epoch:3/60 || Epochiter:18/23 || loss:0.5950||Batchtime:0.1472||ETA:0:03:13
Epoch:3/60 || Epochiter:19/23 || loss:0.6046||Batchtime:0.1960||ETA:0:04:17
Epoch:3/60 || Epochiter:20/23 || loss:0.5332||Batchtime:0.1590||ETA:0:03:29
Epoch:3/60 || Epochiter:21/23 || loss:0.5849||Batchtime:0.1431||ETA:0:03:07
Epoch:3/60 || Epochiter:22/23 || loss:0.5001||Batchtime:0.1436||ETA:0:03:08
Epoch:3/60 || Epochiter:23/23 || loss:0.6933||Batchtime:0.1442||ETA:0:03:09
valid_loss:0.004770864266902208,valid_access:0.7492063492063492
Epoch:4/60 || Epochiter:1/23 || loss:0.6271||Batchtime:2.0832||ETA:0:45:31
Epoch:4/60 || Epochiter:2/23 || loss:0.5361||Batchtime:0.1161||ETA:0:02:32
Epoch:4/60 || Epochiter:3/23 || loss:0.5931||Batchtime:0.7405||ETA:0:16:09
Epoch:4/60 || Epochiter:4/23 || loss:0.6410||Batchtime:0.2381||ETA:0:05:11
Epoch:4/60 || Epochiter:5/23 || loss:0.5631||Batchtime:0.1547||ETA:0:03:22
Epoch:4/60 || Epochiter:6/23 || loss:0.6431||Batchtime:0.0993||ETA:0:02:09
Epoch:4/60 || Epochiter:7/23 || loss:0.6032||Batchtime:0.1004||ETA:0:02:11
Epoch:4/60 || Epochiter:8/23 || loss:0.5513||Batchtime:0.0994||ETA:0:02:09
Epoch:4/60 || Epochiter:9/23 || loss:0.5795||Batchtime:0.0987||ETA:0:02:08
Epoch:4/60 || Epochiter:10/23 || loss:0.5342||Batchtime:0.1000||ETA:0:02:10
Epoch:4/60 || Epochiter:11/23 || loss:0.6255||Batchtime:0.1010||ETA:0:02:11
Epoch:4/60 || Epochiter:12/23 || loss:0.5109||Batchtime:0.1373||ETA:0:02:58
Epoch:4/60 || Epochiter:13/23 || loss:0.4857||Batchtime:0.1226||ETA:0:02:39
Epoch:4/60 || Epochiter:14/23 || loss:0.6050||Batchtime:0.1448||ETA:0:03:07
Epoch:4/60 || Epochiter:15/23 || loss:0.5267||Batchtime:0.6482||ETA:0:14:00
Epoch:4/60 || Epochiter:16/23 || loss:0.6005||Batchtime:0.1398||ETA:0:03:01
Epoch:4/60 || Epochiter:17/23 || loss:0.5912||Batchtime:0.1451||ETA:0:03:07
Epoch:4/60 || Epochiter:18/23 || loss:0.5144||Batchtime:0.1790||ETA:0:03:51
Epoch:4/60 || Epochiter:19/23 || loss:0.5247||Batchtime:0.1380||ETA:0:02:58
Epoch:4/60 || Epochiter:20/23 || loss:0.5355||Batchtime:0.1442||ETA:0:03:06
Epoch:4/60 || Epochiter:21/23 || loss:0.5067||Batchtime:0.1496||ETA:0:03:13
Epoch:4/60 || Epochiter:22/23 || loss:0.5140||Batchtime:0.1409||ETA:0:03:01
Epoch:4/60 || Epochiter:23/23 || loss:0.5806||Batchtime:0.1293||ETA:0:02:46
valid_loss:0.004224841482937336,valid_access:0.7777777777777778
Epoch:5/60 || Epochiter:1/23 || loss:0.6009||Batchtime:2.0776||ETA:0:44:35
Epoch:5/60 || Epochiter:2/23 || loss:0.6311||Batchtime:0.0845||ETA:0:01:48
Epoch:5/60 || Epochiter:3/23 || loss:0.5654||Batchtime:0.9752||ETA:0:20:54
Epoch:5/60 || Epochiter:4/23 || loss:0.5342||Batchtime:0.3054||ETA:0:06:32
Epoch:5/60 || Epochiter:5/23 || loss:0.5753||Batchtime:0.1723||ETA:0:03:41
Epoch:5/60 || Epochiter:6/23 || loss:0.5466||Batchtime:0.1945||ETA:0:04:09
Epoch:5/60 || Epochiter:7/23 || loss:0.5583||Batchtime:0.1764||ETA:0:03:46
Epoch:5/60 || Epochiter:8/23 || loss:0.5699||Batchtime:0.1741||ETA:0:03:42
Epoch:5/60 || Epochiter:9/23 || loss:0.6103||Batchtime:0.1753||ETA:0:03:44
Epoch:5/60 || Epochiter:10/23 || loss:0.4777||Batchtime:0.1673||ETA:0:03:33
Epoch:5/60 || Epochiter:11/23 || loss:0.5665||Batchtime:0.1960||ETA:0:04:10
Epoch:5/60 || Epochiter:12/23 || loss:0.4929||Batchtime:0.1671||ETA:0:03:33
Epoch:5/60 || Epochiter:13/23 || loss:0.5834||Batchtime:2.0146||ETA:0:42:50
Epoch:5/60 || Epochiter:14/23 || loss:0.4989||Batchtime:0.1700||ETA:0:03:36
Epoch:5/60 || Epochiter:15/23 || loss:0.4961||Batchtime:0.4996||ETA:0:10:36
